,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
8108,15261967,Gràcia,61.0,la Vila de Gràcia,4,169,30,996.33
8124,15321574,Nou Barris,30.0,Verdun,2,296,31,172.5
8131,15338191,Ciutat Vella,25.0,el Barri Gòtic,2,95,32,562.5
8141,15364573,Sant Martí,50.0,el Poblenou,5,219,31,608.33
8208,15546745,Ciutat Vella,45.0,la Barceloneta,3,239,32,472.5
8235,15597495,Sant Martí,55.0,el Poblenou,4,301,32,293.33
8342,15826346,Ciutat Vella,27.0,el Barri Gòtic,2,162,32,456.75
8400,15949165,Sant Martí,70.0,el Besòs i el Maresme,4,323,30,245.0
8490,16097230,Sant Andreu,55.0,la Sagrera,2,263,32,467.5
8509,16128469,Ciutat Vella,51.0,el Raval,2,311,31,229.5
8521,16170106,Sant Martí,45.0,el Camp de l'Arpa del Clot,4,257,32,405.0
8549,16234280,Ciutat Vella,49.0,"Sant Pere, Santa Caterina i la Ribera",2,344,35,85.75
8615,16342064,Ciutat Vella,120.0,"Sant Pere, Santa Caterina i la Ribera",4,356,32,90.0
8654,16388020,Eixample,70.0,la Dreta de l'Eixample,5,357,31,46.67
8699,16459520,Eixample,112.0,el Fort Pienc,6,14,32,3276.0
8732,16506765,Ciutat Vella,220.0,la Barceloneta,2,171,32,3556.67
8752,16556943,Ciutat Vella,99.0,el Barri Gòtic,4,305,31,495.0
8761,16576575,Ciutat Vella,45.0,"Sant Pere, Santa Caterina i la Ribera",3,280,31,318.75
8901,16881832,Sants-Montjuïc,106.0,Sants,4,213,30,1342.67
8921,16913114,Ciutat Vella,35.0,"Sant Pere, Santa Caterina i la Ribera",2,298,35,195.42
8922,16919723,Ciutat Vella,28.0,el Barri Gòtic,2,50,33,735.0
8949,16951437,Horta-Guinardó,80.0,el Carmel,3,257,32,720.0
8953,16951978,Les Corts,100.0,les Corts,4,286,31,658.33
8963,16967971,Ciutat Vella,125.0,"Sant Pere, Santa Caterina i la Ribera",6,105,31,2708.33
9014,17040300,Ciutat Vella,39.0,la Barceloneta,3,75,40,942.5
9022,17051593,Eixample,82.0,l'Antiga Esquerra de l'Eixample,4,289,32,519.33
9098,17195079,Ciutat Vella,169.0,"Sant Pere, Santa Caterina i la Ribera",6,175,32,2675.83
9136,17247046,Ciutat Vella,40.0,el Raval,2,317,31,160.0
9219,17353092,Eixample,53.0,la Dreta de l'Eixample,2,162,31,896.58
9299,17425721,Ciutat Vella,85.0,"Sant Pere, Santa Caterina i la Ribera",6,75,32,2054.17
9326,17458927,Eixample,61.0,la Dreta de l'Eixample,3,279,35,437.17
9426,17630417,Eixample,62.0,la Dreta de l'Eixample,6,345,32,103.33
9446,17677133,Sarrià-Sant Gervasi,105.0,Sant Gervasi - Galvany,2,171,32,1697.5
9462,17699503,Sant Martí,45.0,la Verneda i la Pau,3,305,31,225.0
9515,17784677,Eixample,50.0,la Dreta de l'Eixample,2,228,32,570.83
9539,17823928,Gràcia,100.0,la Vila de Gràcia,6,79,32,2383.33
9570,17869698,Sant Martí,50.0,el Camp de l'Arpa del Clot,2,252,32,470.83
9598,17929979,Ciutat Vella,36.0,el Barri Gòtic,2,218,31,441.0
9599,17931347,Eixample,60.0,la Dreta de l'Eixample,4,347,31,90.0
9623,17978221,Sant Martí,105.0,el Poblenou,5,334,31,271.25
9658,18037035,Ciutat Vella,58.0,"Sant Pere, Santa Caterina i la Ribera",4,317,35,232.0
9722,18132625,Eixample,45.0,la Sagrada Família,3,69,32,1110.0
9728,18147216,Gràcia,45.0,la Vila de Gràcia,2,365,35,0.0
9741,18154978,Sant Martí,72.0,el Poblenou,5,364,31,6.0
9774,18197251,Eixample,59.0,la Dreta de l'Eixample,2,287,35,383.5
9935,18426108,Ciutat Vella,41.0,"Sant Pere, Santa Caterina i la Ribera",2,276,32,304.08
9949,18441918,Ciutat Vella,57.0,"Sant Pere, Santa Caterina i la Ribera",3,187,32,845.5
9956,18445568,Ciutat Vella,49.0,la Barceloneta,2,213,32,620.67
10032,18542083,Ciutat Vella,30.0,el Barri Gòtic,3,69,64,740.0
10038,18549740,Sants-Montjuïc,55.0,el Poble Sec,6,249,32,531.67
10115,18646668,Ciutat Vella,57.0,el Barri Gòtic,2,322,32,204.25
10170,18732758,Sants-Montjuïc,65.0,el Poble Sec,4,345,31,108.33
10305,18881694,Eixample,60.0,Sant Antoni,4,328,32,185.0
10353,18941102,Ciutat Vella,57.0,la Barceloneta,3,333,30,152.0
10362,18952363,Ciutat Vella,74.0,la Barceloneta,2,263,35,629.0
10409,19010803,Gràcia,55.0,la Vila de Gràcia,4,365,35,0.0
10548,19171251,Sants-Montjuïc,10.0,el Poble Sec,3,365,31,0.0
10549,19172215,Sants-Montjuïc,10.0,el Poble Sec,4,342,31,19.17
10571,19192134,Eixample,33.0,l'Antiga Esquerra de l'Eixample,2,76,32,794.75
10769,19422997,Eixample,58.0,la Dreta de l'Eixample,2,334,31,149.83
10782,19432305,Ciutat Vella,58.0,el Raval,2,252,32,546.17
10799,19449109,Ciutat Vella,30.0,el Barri Gòtic,4,74,32,727.5
10809,19464663,Eixample,95.0,la Dreta de l'Eixample,6,128,32,1876.25
10998,19656773,Eixample,45.0,Sant Antoni,4,304,31,228.75
11012,19670949,Sant Martí,58.0,el Camp de l'Arpa del Clot,6,335,32,145.0
11014,19672314,Sant Martí,61.0,el Camp de l'Arpa del Clot,6,334,32,157.58
11016,19673387,Sants-Montjuïc,57.0,el Poble Sec,2,270,32,451.25
11038,19689758,Ciutat Vella,31.0,el Raval,2,312,31,136.92
11113,19747988,Ciutat Vella,129.0,el Barri Gòtic,6,243,31,1311.5
11147,19780568,Sant Martí,40.0,la Vila Olímpica del Poblenou,2,112,32,843.33
11174,19821682,Ciutat Vella,46.0,el Barri Gòtic,4,284,32,310.5
11252,19901051,Eixample,63.0,Sant Antoni,4,331,32,178.5
11345,19981280,Ciutat Vella,43.0,la Barceloneta,3,313,31,186.33
11545,20233640,Horta-Guinardó,78.0,el Carmel,4,33,30,2158.0
11548,20238733,Ciutat Vella,80.0,"Sant Pere, Santa Caterina i la Ribera",2,304,31,406.67
11589,20264909,Ciutat Vella,80.0,"Sant Pere, Santa Caterina i la Ribera",2,37,31,2186.67
11698,20401746,Sarrià-Sant Gervasi,15.0,Sarrià,3,318,31,58.75
11780,20511348,Sants-Montjuïc,55.0,la Marina de Port,4,92,32,1251.25
11848,20614422,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",3,347,31,97.5
11882,20647205,Eixample,59.0,la Nova Esquerra de l'Eixample,4,240,32,614.58
11917,20717011,Horta-Guinardó,10.0,el Carmel,2,237,31,106.67
11919,20719000,Ciutat Vella,60.0,el Raval,3,338,31,135.0
11946,20741740,Eixample,40.0,Sant Antoni,4,287,31,260.0
11968,20757212,Ciutat Vella,50.0,el Raval,2,306,32,245.83
12011,20810449,Ciutat Vella,38.0,la Barceloneta,2,160,60,649.17
12014,20811958,Ciutat Vella,57.0,el Raval,3,364,32,4.75
12051,20853797,Nou Barris,50.0,les Roquetes,4,240,32,520.83
12053,20855659,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",3,365,32,0.0
