,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
8077,15184384,Eixample,75.0,el Fort Pienc,5,280,2,531.25
8108,15261967,Gràcia,61.0,la Vila de Gràcia,4,169,30,996.33
8112,15270819,Les Corts,35.0,la Maternitat i Sant Ramon,3,326,1,113.75
8113,15271985,Ciutat Vella,111.0,la Barceloneta,2,56,3,2858.25
8118,15284925,Gràcia,100.0,la Vila de Gràcia,2,317,1,400.0
8124,15321574,Nou Barris,30.0,Verdun,2,296,31,172.5
8131,15338191,Ciutat Vella,25.0,el Barri Gòtic,2,95,32,562.5
8141,15364573,Sant Martí,50.0,el Poblenou,5,219,31,608.33
8142,15367704,Eixample,100.0,la Sagrada Família,5,306,3,491.67
8143,15369499,Ciutat Vella,64.0,"Sant Pere, Santa Caterina i la Ribera",2,68,3,1584.0
8146,15376167,Eixample,180.0,la Dreta de l'Eixample,6,348,3,255.0
8153,15404582,Eixample,100.0,la Dreta de l'Eixample,6,211,2,1283.33
8182,15458452,Sant Martí,188.0,el Parc i la Llacuna del Poblenou,4,183,3,2851.33
8192,15488638,Gràcia,150.0,el Camp d'en Grassot i Gràcia Nova,5,310,1,687.5
8193,15491386,Eixample,100.0,la Dreta de l'Eixample,6,90,3,2291.67
8195,15507190,Eixample,60.0,l'Antiga Esquerra de l'Eixample,6,356,1,45.0
8202,15530253,Sarrià-Sant Gervasi,70.0,Sant Gervasi - la Bonanova,3,10,1,2070.83
8203,15530332,Sant Martí,150.0,el Poblenou,4,60,3,3812.5
8205,15534219,Eixample,250.0,el Fort Pienc,6,362,3,62.5
8208,15546745,Ciutat Vella,45.0,la Barceloneta,3,239,32,472.5
8210,15547425,Sants-Montjuïc,89.0,la Bordeta,4,90,29,2039.58
8214,15556812,Gràcia,130.0,el Camp d'en Grassot i Gràcia Nova,6,313,1,563.33
8215,15557828,Ciutat Vella,120.0,"Sant Pere, Santa Caterina i la Ribera",4,204,3,1610.0
8227,15582843,Eixample,91.0,la Sagrada Família,4,250,1,872.08
8234,15596883,Eixample,630.0,Sant Antoni,6,326,1,2047.5
8235,15597495,Sant Martí,55.0,el Poblenou,4,301,32,293.33
8237,15608461,Ciutat Vella,150.0,el Barri Gòtic,4,216,3,1862.5
8238,15608660,Eixample,250.0,la Dreta de l'Eixample,5,126,1,4979.17
8240,15610431,Gràcia,140.0,el Camp d'en Grassot i Gràcia Nova,4,135,1,2683.33
8244,15627348,Gràcia,225.0,la Vila de Gràcia,6,110,1,4781.25
8245,15627528,Eixample,225.0,el Fort Pienc,6,119,1,4612.5
8246,15627878,Eixample,150.0,Sant Antoni,6,124,1,3012.5
8248,15628218,Sants-Montjuïc,140.0,el Poble Sec,4,137,1,2660.0
8249,15628287,Eixample,205.0,l'Antiga Esquerra de l'Eixample,5,130,1,4014.58
8270,15668556,Eixample,95.0,la Sagrada Família,4,19,3,2739.17
8277,15675540,Eixample,59.0,el Fort Pienc,4,303,4,304.83
8284,15710861,Eixample,170.0,la Dreta de l'Eixample,4,305,2,850.0
8287,15711522,Eixample,170.0,la Dreta de l'Eixample,4,316,2,694.17
8289,15711695,Eixample,200.0,la Dreta de l'Eixample,6,318,2,783.33
8297,15726499,Eixample,250.0,la Dreta de l'Eixample,6,308,2,1187.5
8299,15727743,Eixample,270.0,la Dreta de l'Eixample,6,322,2,967.5
8300,15733317,Sarrià-Sant Gervasi,100.0,el Putxet i el Farró,3,311,2,450.0
8302,15737782,Eixample,290.0,l'Antiga Esquerra de l'Eixample,6,146,1,5292.5
8311,15754354,Eixample,135.0,la Dreta de l'Eixample,4,109,3,2880.0
8312,15756495,Eixample,150.0,la Sagrada Família,6,333,1,400.0
8314,15762813,Eixample,100.0,la Sagrada Família,4,280,1,708.33
8318,15767930,Sants-Montjuïc,100.0,Sants,4,356,2,75.0
8325,15793896,Eixample,200.0,la Dreta de l'Eixample,6,268,3,1616.67
